wsid,wsnm,elvt,lat,lon,inme,city,prov
303,VITÓRIA,9.00,-20.271094,-40.306069,A612,Vitória,ES
304,SANTA TERESA,976.00,-19.988388,-40.579572,A613,Santa Teresa,ES
305,LINHARES,38.00,-19.356923,-40.068680,A614,Linhares,ES
306,ALFREDO CHAVES,14.00,-20.636526,-40.741818,A615,Alfredo Chaves,ES
307,SÃO MATEUS,29.00,-18.676198,-39.864051,A616,São Mateus,ES
308,ALEGRE,129.00,-20.750412,-41.488852,A617,Alegre,ES
309,PRES. KENNEDY,69.00,-21.100805,-41.039395,A622,Presidente Kennedy,ES
310,NOVA VENECIA,156.00,-18.695265,-40.390572,A623,Nova Venécia,ES
311,AFONSO CLAUDIO,507.00,-20.104194,-41.106861,A657,Afonso Cláudio,ES
312,BARBACENA,1169.00,-21.228373,-43.767703,A502,Barbacena,MG
313,ARAXÁ,1018.00,-19.605696,-46.949617,A505,Araxá,MG
314,MONTES CLAROS,646.00,-16.686316,-43.843763,A506,Montes Claros,MG
315,UBERLÂNDIA,875.00,-18.917072,-48.255657,A507,Uberlândia,MG
316,ALMENARA,189.00,-16.166773,-40.687756,A508,Almenara,MG
317,MONTE VERDE,1545.00,-22.861604,-46.043365,A509,Camanducaia,MG
318,VIÇOSA,698.00,-20.762607,-42.864013,A510,Viçosa,MG
319,TIMÓTEO,493.00,-19.573824,-42.622413,A511,Timóteo,MG
320,ITUIUTABA,540.00,-18.952907,-49.525072,A512,Ituiutaba,MG
321,OURO BRANCO,1048.00,-20.556592,-43.756220,A513,Ouro Branco,MG
322,S.J.DEL REI,930.00,-21.106502,-44.250928,A514,São João del Rei,MG
323,VARGINHA,950.00,-21.566513,-45.404300,A515,Varginha,MG
324,PASSOS,782.00,-20.745237,-46.633916,A516,Passos,MG
325,MURIAÉ,283.00,-21.104867,-42.375904,A517,Muriaé,MG
326,JUÍZ DE FORA,937.00,-21.769965,-43.364329,A518,Juiz de Fora,MG
327,CAMPINA VERDE,559.00,-19.539210,-49.518133,A519,Campina Verde,MG
328,CONC. DAS ALAGOAS,573.00,-19.985860,-48.151574,A520,Conceição das Alagoas,MG
329,BELO HOR. (PAMPULHA),854.00,-19.883945,-43.969397,A521,Belo Horizonte,MG
330,SERRA DOS AIMORES,212.00,-17.798799,-40.249933,A522,Serra dos Aimorés,MG
331,PATROCÍNIO,978.00,-18.996684,-46.985935,A523,Patrocínio,MG
332,FORMIGA,878.00,-20.454930,-45.453825,A524,Formiga,MG
333,SACRAMENTO,913.00,-19.875271,-47.434102,A525,Sacramento,MG
334,MONTALVANIA,520.00,-14.408228,-44.404123,A526,Montalvânia,MG
335,TEÓFILO OTONI,467.00,-17.892840,-41.515423,A527,Teófilo Otoni,MG
336,TRÊS MARIAS,931.00,-18.200855,-45.459836,A528,Três Marias,MG
